additives_n,fat_100g,saturated-fat_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,sodium_100g,nutrition-score-uk_100g,healthy_label
3.0,2.94,2.06,18.82,17.06,0.0,4.12,0.047,4.0,1
0.0,3.96,2.64,11.89,10.13,0.0,4.85,0.051,2.0,1
3.0,3.52,1.98,17.18,15.86,0.0,6.17,0.059,2.0,1
5.0,20.59,7.35,2.94,2.94,0.0,11.76,0.882,19.0,0
1.0,32.56,20.93,48.84,44.19,7.0,4.65,0.581,26.0,1
1.0,46.51,27.91,46.51,25.58,14.0,6.98,0.0,16.0,1
0.0,3.2,0.7,71.0,0.7,3.7,8.1,0.0,-6.0,1
0.0,2.42,0.0,50.0,3.23,3.2,9.68,0.355,-3.0,0
0.0,0.68,0.0,14.86,8.78,2.7,1.35,0.0,-2.0,1
0.0,0.68,0.0,14.86,8.78,2.7,1.35,0.0,-2.0,1
0.0,14.08,1.41,0.7,0.0,0.0,16.2,0.535,3.0,1
2.0,5.63,0.7,4.23,2.11,0.0,16.9,0.5,1.0,1
0.0,0.0,0.0,8.57,5.71,2.1,0.71,0.0,-1.0,1
4.0,0.0,0.0,42.86,28.57,0.0,0.0,0.0,7.0,0
1.0,0.0,0.0,11.29,8.87,0.8,0.0,0.008,0.0,0
1.0,0.0,0.0,19.53,14.06,0.8,0.0,0.008,2.0,0
2.0,53.57,7.14,17.86,3.57,14.3,21.43,0.7859999999999999,17.0,1
0.0,0.71,0.0,12.14,8.57,2.9,0.71,0.0,-3.0,1
0.0,0.0,0.0,9.29,4.29,2.1,0.71,0.0,-2.0,1
0.0,0.0,0.0,15.71,10.71,5.0,1.43,0.0,-3.0,1
3.0,12.31,2.31,46.15,12.31,1.5,6.15,0.5539999999999999,12.0,0
2.0,31.58,18.42,5.26,0.0,0.0,21.05,1.263,24.0,0
0.0,0.0,0.0,15.71,10.71,5.0,1.43,0.0,-3.0,1
2.0,78.57,21.43,0.0,0.0,0.0,0.0,0.75,26.0,0
0.0,0.0,0.0,80.95,76.19,0.0,0.0,0.0,13.0,1
0.0,0.0,0.0,3.51,1.75,0.0,0.0,0.35100000000000003,3.0,0
3.0,35.71,14.29,0.0,0.0,0.0,35.71,2.0,26.0,0
3.0,35.71,14.29,0.0,0.0,0.0,35.71,2.071,26.0,0
5.0,6.25,0.0,40.62,6.25,6.2,12.5,0.297,-3.0,1
0.0,78.57,7.14,0.0,0.0,0.0,0.0,0.429,19.0,0
0.0,0.44,0.0,17.7,0.88,5.3,6.19,0.425,-3.0,0
0.0,0.44,0.0,17.7,0.88,5.3,6.19,0.425,-3.0,0
0.0,0.0,0.0,19.47,0.88,6.2,7.08,0.257,-6.0,0
2.0,16.16,4.04,45.45,30.3,1.0,4.04,0.242,15.0,0
0.0,0.0,0.0,4.71,1.18,2.4,1.18,0.0,-3.0,1
10.0,0.0,0.0,85.2,77.4,0.0,0.0,0.0,14.0,0
5.0,22.22,6.67,6.67,4.44,0.0,13.33,0.867,18.0,0
0.0,50.0,7.81,21.88,9.38,6.2,21.88,0.469,16.0,1
0.0,0.0,0.0,9.17,3.33,2.5,1.67,0.008,-4.0,1
0.0,0.0,0.0,14.29,10.39,3.2,0.0,0.0,-2.0,1
1.0,15.0,1.67,23.33,20.0,0.0,0.0,0.083,7.0,0
2.0,0.38,0.0,13.85,4.62,3.1,4.62,0.446,-1.0,0
6.0,3.81,0.85,27.12,5.08,2.5,6.78,0.28,-1.0,0
4.0,18.4,10.4,35.2,23.2,0.8,4.8,0.392,21.0,0
4.0,17.7,7.08,46.9,23.01,0.9,6.19,0.5579999999999999,21.0,0
3.0,17.7,7.08,49.56,29.2,1.8,5.31,0.478,20.0,0
2.0,0.0,0.0,20.39,0.0,1.9,1.94,0.073,-2.0,1
3.0,78.57,21.43,0.0,0.0,0.0,0.0,0.75,26.0,0
5.0,10.0,0.0,33.33,33.33,0.0,0.0,0.0,9.0,0
4.0,10.0,0.0,40.0,40.0,0.0,0.0,0.0,11.0,0
5.0,10.0,0.0,40.0,40.0,0.0,0.0,0.0,11.0,0
6.0,10.0,0.0,33.33,33.33,0.0,0.0,0.0,9.0,0
0.0,0.0,0.0,9.29,4.29,2.1,0.71,0.0,-2.0,1
6.0,2.63,0.0,36.84,3.51,5.3,12.28,0.368,-4.0,1
2.0,16.0,1.0,74.0,26.0,6.0,8.0,0.46,10.0,0
1.0,3.33,0.0,50.0,6.67,3.3,10.0,0.4,-1.0,0
2.0,3.57,0.0,46.43,3.57,3.6,10.71,0.464,-2.0,0
1.0,0.0,0.0,19.53,14.06,0.8,0.0,0.008,2.0,0
0.0,0.0,0.0,12.3,9.84,2.5,0.0,0.016,-1.0,0
2.0,0.0,0.0,9.02,7.38,1.6,0.0,0.016,-1.0,0
0.0,0.0,0.0,3.33,3.33,3.3,0.0,0.667,3.0,1
1.0,0.0,0.0,3.33,3.33,3.3,0.0,0.667,3.0,1
3.0,1.92,0.77,16.15,0.77,3.8,5.38,0.454,-2.0,0
3.0,1.92,0.77,16.15,0.77,3.8,5.38,0.454,-2.0,0
0.0,0.0,0.0,16.15,0.77,3.8,5.38,0.454,-2.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,46.88,7.81,18.75,9.38,6.2,21.88,0.312,14.0,1
7.0,0.0,0.0,74.36,41.03,0.0,5.13,0.064,13.0,0
0.0,50.0,5.0,23.33,3.33,10.0,20.0,0.5,11.0,1
6.0,1.27,0.0,0.85,0.42,0.4,0.42,0.076,0.0,1
3.0,13.85,1.54,46.15,10.77,1.5,6.15,0.615,11.0,0
2.0,0.0,0.0,85.71,85.71,0.0,0.0,0.0,14.0,0
4.0,25.0,0.0,50.0,0.0,0.0,0.0,0.0,6.0,0
0.0,0.0,0.0,3.48,0.0,1.7,1.74,0.29600000000000004,0.0,1
0.0,0.0,0.0,2.61,0.0,2.6,2.61,0.039,-4.0,1
0.0,71.43,10.71,0.0,0.0,0.0,0.0,0.536,23.0,0
4.0,12.5,0.0,0.0,0.0,0.0,0.0,0.25,3.0,1
6.0,1.32,0.0,81.58,34.21,0.0,2.63,0.118,12.0,0
2.0,1.79,0.0,1.79,1.79,0.0,17.86,0.7140000000000001,3.0,1
0.0,5.88,1.18,8.24,1.18,4.7,12.94,0.0,-8.0,1
0.0,0.0,0.0,59.38,0.0,28.1,25.0,0.016,-8.0,1
